observation_id,authorplotcode_vb,project_id_name,date,latitude,longitude,spp
82160,SSJD0380,Delta,2006-04-03,37.8216646324721,-121.618194333975,a_menziesii
82277,CVRP1431,CVRP,2011-04-28,39.8922479251812,-121.985911605846,a_menziesii
82291,CVRP1437,CVRP,2011-05-03,39.6372409760567,-121.709023976974,a_menziesii
82316,CVRP1462,CVRP,2011-05-09,39.8526744153513,-121.8845251703,a_menziesii
82412,CVRP2129,CVRP,2011-05-25,37.2623958624486,-120.743887932187,a_menziesii
82691,CVRP2091,CVRP,2011-05-26,37.2569654262531,-120.769767595538,a_menziesii
82866,CVRP2367,CVRP,2011-07-18,36.7747359096588,-120.273570022988,a_menziesii
82894,CVRP3000,CVRP,2011-05-03,39.634545431534,-121.699192617531,a_menziesii
83058,E04221140,San Joaquin Valley and Southern Foothills,2008-04-22,35.7780868637817,-119.621476760619,a_menziesii
83059,E04231020,San Joaquin Valley and Southern Foothills,2008-04-23,35.3455938817065,-119.509716017147,a_menziesii
83060,E04231422,San Joaquin Valley and Southern Foothills,2008-04-23,35.348660338581404,-119.474241056436,a_menziesii
83064,E06091600,San Joaquin Valley and Southern Foothills,2008-06-09,36.961697206382,-119.741138291018,a_menziesii
83069,E06241440,San Joaquin Valley and Southern Foothills,2008-06-24,36.9465315557088,-119.735631863742,a_menziesii
83071,G06231621,San Joaquin Valley and Southern Foothills,2008-06-23,36.8767758733687,-119.787016449818,a_menziesii
83093,G06251404,San Joaquin Valley and Southern Foothills,2008-06-25,36.8513536988752,-119.829342563208,a_menziesii
83135,H04221010,San Joaquin Valley and Southern Foothills,2008-04-22,35.7794720651414,-119.624497662691,a_menziesii
83139,H04240930,San Joaquin Valley and Southern Foothills,2008-04-24,35.7721080639309,-119.651606627692,a_menziesii
83140,H04241045,San Joaquin Valley and Southern Foothills,2008-04-24,35.7739710642938,-119.639447076062,a_menziesii
83151,J04300846,San Joaquin Valley and Southern Foothills,2008-04-30,35.9118518242047,-119.381488800104,a_menziesii
83156,J06110924,San Joaquin Valley and Southern Foothills,2008-06-11,36.4332177242661,-119.025633006327,a_menziesii
83157,J06161524,San Joaquin Valley and Southern Foothills,2008-06-16,34.9804925406169,-119.186173352375,a_menziesii
83162,J06241016,San Joaquin Valley and Southern Foothills,2008-06-24,35.4115451792683,-118.99707021369,a_menziesii
83163,J06241102,San Joaquin Valley and Southern Foothills,2008-06-24,35.4117160304687,-118.997096454319,a_menziesii
83171,K06110931,San Joaquin Valley and Southern Foothills,2008-06-11,36.434610054477,-119.025914606941,a_menziesii
83191,E06180944,San Joaquin Valley and Southern Foothills,2008-06-18,36.8731176905226,-119.799636711066,a_menziesii
83195,MDRA0001,San Joaquin Valley and Southern Foothills,2011-05-02,36.9147490306772,-120.250489858188,a_menziesii
83197,MDRA0003,San Joaquin Valley and Southern Foothills,2011-05-02,36.9061809884325,-120.258013694771,a_menziesii
83217,E06240914,San Joaquin Valley and Southern Foothills,2008-06-24,36.9975881412197,-119.708676809754,a_menziesii
83246,G04231205,San Joaquin Valley and Southern Foothills,2008-04-23,35.3413449541943,-119.509441522068,a_menziesii
83247,G04231555,San Joaquin Valley and Southern Foothills,2008-04-23,35.3459236025598,-119.486798605671,a_menziesii
83251,MDRA0018,San Joaquin Valley and Southern Foothills,2011-05-04,36.8534612049398,-120.241196410683,a_menziesii
83277,G06161618,San Joaquin Valley and Southern Foothills,2008-06-16,36.7539281913482,-119.441914546761,a_menziesii
83283,G06240930,San Joaquin Valley and Southern Foothills,2008-06-24,36.9947524605782,-119.710912982355,a_menziesii
83307,A06171200,San Joaquin Valley and Southern Foothills,2008-06-17,34.9381449070385,-119.270833879613,a_menziesii
83308,B06261122,San Joaquin Valley and Southern Foothills,2008-06-26,35.4112904070257,-118.978046364459,a_menziesii
83311,C06180926,San Joaquin Valley and Southern Foothills,2008-06-18,36.7869501598034,-119.406983599198,a_menziesii
83327,LOKE0505,San Joaquin Valley and Southern Foothills,2010-03-27,35.3539706531457,-119.600351230786,a_menziesii
83328,LOKE0506,San Joaquin Valley and Southern Foothills,2010-03-27,35.3991412955761,-119.571197517841,a_menziesii
83341,SEMI0506,San Joaquin Valley and Southern Foothills,2010-03-25,35.6375909706387,-119.560135721074,a_menziesii
83343,SEMI0508,San Joaquin Valley and Southern Foothills,2010-03-25,35.62341418656,-119.560908837029,a_menziesii
83349,TEJO0005,San Joaquin Valley and Southern Foothills,2010-03-26,35.0432592301208,-118.710009686111,a_menziesii
83387,A04221610,San Joaquin Valley and Southern Foothills,2008-04-22,35.7748388610515,-119.625340726954,a_menziesii
83388,A06041210,San Joaquin Valley and Southern Foothills,2008-06-04,34.950248321676,-119.202034579206,a_menziesii
83390,B04231120,San Joaquin Valley and Southern Foothills,2008-04-23,35.7568250679334,-119.650225556123,a_menziesii
83395,I04301050,San Joaquin Valley and Southern Foothills,2008-04-30,37.4066744220605,-120.418342948316,a_menziesii
83399,B05061310,San Joaquin Valley and Southern Foothills,2008-05-06,35.304524939088,-118.801527122236,a_menziesii
83400,B06241217,San Joaquin Valley and Southern Foothills,2008-06-24,35.414187161874104,-118.98446027425,a_menziesii
83404,C04291030,San Joaquin Valley and Southern Foothills,2008-04-29,35.9130581149413,-119.34356399476,a_menziesii
83407,C04291550,San Joaquin Valley and Southern Foothills,2008-04-29,35.9070828606149,-119.349514641372,a_menziesii
83411,C05010944,San Joaquin Valley and Southern Foothills,2008-05-01,35.9555120688213,-119.391989817927,a_menziesii
83413,C05061340,San Joaquin Valley and Southern Foothills,2008-05-06,37.1890510948811,-120.628855125724,a_menziesii
83432,A06181200,San Joaquin Valley and Southern Foothills,2008-06-18,34.9578646412772,-119.131915030447,a_menziesii
83434,A06241110,San Joaquin Valley and Southern Foothills,2008-06-24,35.4109282922739,-118.994577325127,a_menziesii
83435,A06241330,San Joaquin Valley and Southern Foothills,2008-06-24,35.4115584792014,-118.98752319702,a_menziesii
83439,A06261030,San Joaquin Valley and Southern Foothills,2008-06-26,35.4410239760475,-118.90106642978,a_menziesii
83441,B04241215,San Joaquin Valley and Southern Foothills,2008-04-24,35.7213962373463,-119.639468100201,a_menziesii
83447,B06161710,San Joaquin Valley and Southern Foothills,2008-06-16,34.9623561820406,-119.187049229513,a_menziesii
