observation_id,authorplotcode_vb,project_id_name,date,latitude,longitude,spp
83059,E04231020,San Joaquin Valley and Southern Foothills,2008-04-23,35.3455938817065,-119.509716017147,p_arborea
83308,B06261122,San Joaquin Valley and Southern Foothills,2008-06-26,35.4112904070257,-118.978046364459,p_arborea
83309,B06261203,San Joaquin Valley and Southern Foothills,2008-06-26,35.4113198204923,-118.982848282987,p_arborea
83377,wind0013,San Joaquin Valley and Southern Foothills,2011-04-22,34.9151962262023,-118.967817985857,p_arborea
83434,A06241110,San Joaquin Valley and Southern Foothills,2008-06-24,35.4109282922739,-118.994577325127,p_arborea
83443,B05061000,San Joaquin Valley and Southern Foothills,2008-05-06,35.3037976971411,-118.800114289255,p_arborea
83590,LPWA015,CDFG lands Region4 2004-2005,2005-05-10,36.78678,-120.78867,p_arborea
83592,LPWA017,CDFG lands Region4 2004-2005,2005-05-10,36.787,-120.78784,p_arborea
83608,LPWA020,CDFG lands Region4 2004-2005,2005-05-10,36.78391,-120.80374,p_arborea
83609,LPWA021,CDFG lands Region4 2004-2005,2005-05-10,36.78085,-120.80889,p_arborea
83610,LPWA022,CDFG lands Region4 2004-2005,2005-05-10,36.78182,-120.8097,p_arborea
83614,LPWA026,CDFG lands Region4 2004-2005,2005-05-12,36.78066,-120.80585,p_arborea
83616,LPWA028,CDFG lands Region4 2004-2005,2005-05-12,36.77704,-120.82182,p_arborea
83617,LPWA029,CDFG lands Region4 2004-2005,2005-06-02,36.78785,-120.7836,p_arborea
83618,LPWA030,CDFG lands Region4 2004-2005,2005-06-02,36.7884,-120.78335,p_arborea
83620,LPWA032,CDFG lands Region4 2004-2005,2005-06-02,36.77369,-120.81784,p_arborea
83793,LPWA002,CDFG lands Region4 2004-2005,2005-03-07,36.77864,-120.80014,p_arborea
83794,LPWA003,CDFG lands Region4 2004-2005,2005-03-07,36.77877,-120.79896,p_arborea
83795,LPWA004,CDFG lands Region4 2004-2005,2005-03-14,36.77404,-120.81226,p_arborea
83796,LPWA005,CDFG lands Region4 2004-2005,2005-03-14,36.77459,-120.82317,p_arborea
83797,LPWA006,CDFG lands Region4 2004-2005,2005-03-13,36.77941,-120.80322,p_arborea
136624,CVPA0003,Ciervo-Panoche Vegetation,2014-03-26,36.7117112379844,-120.816699658412,p_arborea
137039,CVPA0029,Ciervo-Panoche Vegetation,2014-04-10,36.7181832244773,-120.793285925112,p_arborea
137040,CVPA0030,Ciervo-Panoche Vegetation,2014-04-11,36.7477803223116,-120.901278155539,p_arborea
137045,CVPA0035,Ciervo-Panoche Vegetation,2014-04-12,36.7971430141107,-120.905266224594,p_arborea
137046,CVPA0036,Ciervo-Panoche Vegetation,2014-04-12,36.7972939188676,-120.904623305688,p_arborea
137074,CVPA0088,Ciervo-Panoche Vegetation,2014-04-11,36.7498082582608,-120.89872525182,p_arborea
137082,CVPA0096,Ciervo-Panoche Vegetation,2014-04-11,36.7490995347397,-120.898912587285,p_arborea
137095,CVPA0109,Ciervo-Panoche Vegetation,2014-04-16,36.7862487169594,-120.779255488458,p_arborea
137102,CVPA0127,Ciervo-Panoche Vegetation,2014-05-06,36.7029312667476,-120.73560755212,p_arborea
137949,SAMO0069,SAMO (CNPS Rapid Assessment/Releve 2002),2002-08-16,34.1046554012197,-119.060170537651,p_arborea
137999,SAMO0688,SAMO (CNPS Rapid Assessment/Releve 2002),2003-01-23,34.092937960206,-119.064210856164,p_arborea
138200,SAMO0670,SAMO (CNPS Rapid Assessment/Releve 2002),2003-01-17,34.09527439333,-119.069502483732,p_arborea
138385,SAMO0933,SAMO (CNPS Rapid Assessment/Releve 2002),2003-02-11,34.1030144662959,-119.081017984174,p_arborea
138386,SAMO0934,SAMO (CNPS Rapid Assessment/Releve 2002),2003-02-11,34.0990145981742,-119.077614223035,p_arborea
138483,SAMO0647,SAMO (CNPS Rapid Assessment/Releve 2002),2003-01-23,34.0061375592938,-118.801666832539,p_arborea
138484,SAMO0648,SAMO (CNPS Rapid Assessment/Releve 2002),2003-01-23,34.0035783819097,-118.809538352837,p_arborea
138485,SAMO0649,SAMO (CNPS Rapid Assessment/Releve 2002),2003-01-14,34.0450717310324,-118.934819545814,p_arborea
138547,SAMO0639,SAMO (CNPS Rapid Assessment/Releve 2002),2003-01-23,34.0024512455702,-118.805237695571,p_arborea
