x,y,month,year
-118.75604099469402,34.900429280402705,10,1999
-117.81215576346086,33.561241687371044,10,1999
-121.1574356143271,37.156610787538376,10,1999
-122.54771670990414,38.826561581258574,10,1999
-121.51509013214479,37.992930750254935,10,1999
-120.39372220785924,36.93341285536643,10,1999
-118.04342109077155,34.51050518203003,10,1999
-116.07497667691779,34.150161532499425,11,1999
-119.58160443055891,35.57002307691854,11,1999
-118.8420932095073,36.844671508840236,11,1999
-119.14327596135378,37.39056524656198,11,1999
-119.1110063807988,34.89505101697688,11,1999
-118.18056680813021,35.430188227846955,11,1999
-122.83545380318604,39.004044274310964,11,1999
-120.23775256851017,37.18619123638044,12,1999
-121.46937489302523,36.390208249357606,12,1999
-116.26052676510892,35.989527624133274,12,1999
-119.69723709421426,36.820469323424,12,1999
-121.2112182485854,36.677945342639504,12,1999
-115.20369800193333,33.165939325572545,12,1999
-120.55507011063415,35.39254038386615,12,1999
-119.22394991274123,36.739795372036554,1,2000
-119.78060017731462,37.76704368637007,1,2000
-120.61692014003118,36.83391498198858,1,2000
-120.58733969118911,37.88536548173833,1,2000
-117.37382729425572,36.73172797689781,1,2000
-118.67267791159365,37.64065449586307,1,2000
-120.47977442267252,37.85309590118335,1,2000
-117.26357289402621,34.65840742624036,2,2000
-116.5778443072329,32.82173046631942,2,2000
-118.19132333498187,36.15087552690817,2,2000
-122.01526863074697,38.404367902330925,2,2000
-118.29351034007264,35.00530541720639,2,2000
-114.9831892014743,32.84593265173566,2,2000
-115.45109811952152,33.488635131122344,2,2000
-118.38225168659883,35.80935579936797,3,2000
-119.76177625532422,36.45743654218048,3,2000
-120.0979177194386,37.317958690313276,3,2000
-116.12607017946317,33.82477659523671,3,2000
-118.76410838983277,34.27655072300643,3,2000
-117.86324926600625,36.99795201647639,3,2000
-118.01921890535532,36.13474073663068,3,2000
-121.51240100043188,36.4977735178742,4,2000
-120.39103307614633,36.73172797689781,4,2000
-116.76339439542402,33.08526537418509,4,2000
-118.11064938359442,35.169342451694206,4,2000
-121.27306827798245,37.53040009563355,4,2000
-117.76912965605422,36.73441710861072,4,2000
-122.12014476755066,37.18619123638044,4,2000
-118.8420932095073,36.433234356764245,5,2000
-121.69526195691009,36.43054522505133,5,2000
-119.80480236273087,37.23459560721291,5,2000
-117.57013390929852,36.167010317185664,5,2000
-121.25962261941787,38.35865266321137,5,2000
-118.7533518629811,37.22114994864833,5,2000
-120.07102640230944,38.138143862752344,5,2000
-118.2155255203981,35.54313175978939,6,2000
-116.07497667691779,34.38142685981011,6,2000
-117.41416426994945,35.0429532611872,6,2000
-119.3610956300999,35.153207661416715,6,2000
-120.28615693934265,37.5384674907723,6,2000
-117.7099687583701,36.94148025050517,6,2000
-118.94696934631098,37.66216754956639,6,2000
-120.4932200812371,36.7478627671753,7,2000
-122.48317754879417,38.80504852755526,7,2000
-120.8159158867869,38.536135356263756,7,2000
-119.23201730787997,35.77439708710008,7,2000
-119.1486542247796,37.27224345119372,7,2000
-117.23130331347123,33.08526537418509,7,2000
-115.74959173965507,32.70609780266408,7,2000
-120.16245688054856,36.84736064055315,8,2000
-117.22861418175832,33.22241109154376,8,2000
-120.75944412081569,37.50081964679149,8,2000
-115.81144176905212,33.92696360032748,8,2000
-120.37758741758175,35.77708621881299,8,2000
-116.91129663963434,35.330690354469105,8,2000
