x,y,month,year
-119.25892223821036,34.27385899902181,10,1999
-120.03877065628262,37.42552226102417,10,1999
-120.00381193409316,37.56804628225807,10,1999
-119.70262909676872,35.66414048917132,10,1999
-120.89391478368599,36.4762584969569,10,1999
-116.62895067657358,34.95689864795406,10,1999
-116.4676027280069,34.95152038300184,10,1999
-115.8948175105952,36.13204954001467,10,1999
-115.98086974983077,34.47823306720626,10,1999
-115.36236928032518,35.206987968232404,10,1999
-120.42062746789041,36.98719366741804,10,1999
-120.52281450198264,35.79321884802465,10,1999
-114.45075337092348,33.364932222096215,10,1999
-119.95809668199928,36.34718013810357,10,1999
-117.53518832102306,36.833913116279696,10,1999
-120.70029724540598,37.350226551693055,10,1999
-116.56978976209913,35.007992165000175,10,1999
-117.66964494482862,34.25234593921292,10,1999
-117.08341406503638,34.147469772644584,10,1999
-116.107258976208,33.05837111981953,10,1999
-116.10188071125577,32.80021440211286,10,1999
-118.53016733718421,36.33911274067523,10,1999
-116.25516126239411,35.0617748145224,10,1999
-118.3607519911892,35.145137921281844,10,1999
-119.80481613086094,36.62684991561913,10,1999
-115.72002389964798,35.34682285699019,10,1999
-116.87097259942358,34.725633255008496,10,1999
-118.18864751271809,36.55962160371635,10,1999
-117.65619928244807,33.75754556360845,10,1999
-118.30428020919088,36.495082424289684,10,1999
-116.93282264637415,35.5888447798402,10,1999
-115.58556727584242,34.919250793288505,10,1999
-119.70531822924482,34.91118339586017,10,1999
-119.78868133600427,37.18081120569805,10,1999
-117.15602064189137,33.21165167095788,10,1999
-118.28007801690588,36.573067266096906,10,1999
-114.37814679406847,33.9108261147468,10,1999
-120.20549686980151,35.263459750230744,11,1999
-117.66157754740028,35.10480093414018,11,1999
-117.84981682072808,37.42821139350028,11,1999
-117.22862721874638,35.57002085250742,11,1999
-118.08108221367364,33.75754556360845,11,1999
-117.86326248310863,33.81401734560679,11,1999
-114.84874497738794,33.49132144847344,11,1999
-119.08412862726313,37.10013723141471,11,1999
-120.40180354055764,35.94381026668688,11,1999
-118.30965847414309,35.94112113421077,11,1999
-119.39875712696815,36.5703781336208,11,1999
-117.17215543674804,35.79859711297688,11,1999
-117.59703836797362,37.40132006873917,11,1999
-114.71159922110627,33.67687158932512,11,1999
-114.63899264425126,32.78407960725619,11,1999
-115.28707357099407,34.31150685368737,11,1999
-119.80212699838482,35.17740751099518,11,1999
-118.00309737186642,35.45707728851075,11,1999
-117.87670814548919,37.51695276521195,11,1999
-120.38835787817708,37.14316335103249,11,1999
-118.09183874357808,34.741768049865165,11,1999
-116.9731596335158,33.00727760277342,11,1999
-118.2397410297642,34.13940237521625,11,1999
-118.36881938861754,34.20931981959514,11,1999
-115.04774078062017,34.66109407558183,11,1999
-115.5828781433663,35.63456003193409,11,1999
-115.48338024175018,34.16091543502514,11,1999
-118.98463072564701,35.0617748145224,11,1999
-115.70657823726742,35.430185963749636,11,1999
-119.54397028067815,36.30415401848579,11,1999
-115.5586759510813,34.79017243443516,11,1999
-118.3338606664281,35.034883489761285,11,1999
-116.18524381801522,35.05370741709407,11,1999
-117.71536019692252,33.47787578609289,11,1999
-117.76914284644474,36.489704159337464,11,1999
-119.60850946010481,34.61537882348794,11,1999
-117.4706491415964,34.29268292635459,11,1999
-116.88710739428025,33.46980838866455,12,1999
-114.58789912720515,33.34073002981121,12,1999
-117.81216896606252,36.81240005647081,12,1999
-117.4491360817875,36.51121721914635,12,1999
-117.65351014997195,33.59350848256567,12,1999
-119.04648077259758,35.551196925174644,12,1999
-119.50632242601259,36.019105976018,12,1999
-118.24780842719254,36.89307403075414,12,1999
-116.19062208296745,35.30917500232463,12,1999
-116.59130282190802,35.112868331568514,12,1999
-116.76609643285525,35.84700149754688,12,1999
-120.49861230969763,36.322977945818565,12,1999
-116.04540892925743,33.0503037223912,12,1999
-119.28312443049536,36.29877575353356,12,1999
-119.28312443049536,37.90687697424808,12,1999
-118.9093350163159,35.57002085250742,12,1999
-117.66695581235251,33.698384649134006,12,1999
-117.39804256474139,33.74947816618012,12,1999
-118.94698287098146,37.487372307974724,12,1999
-114.92941895167128,34.246967674260695,12,1999
-119.76179001124316,37.522331030164175,12,1999
-116.30087651448801,35.30379673737241,12,1999
-119.12177648192869,35.185474908423515,12,1999
-118.84748496936534,37.70250290606363,12,1999
-117.84174942329975,34.23890027683236,12,1999
