x,y,month,year
-120.89658974067665,36.919967010081024,10,1999
-120.11943067678926,37.468549878707414,10,1999
-119.17823457865576,35.37102714572416,10,1999
-119.71068265702843,35.9169208826416,10,1999
-118.21283629514167,36.45743635614113,10,1999
-118.16443192438051,34.238902696254996,10,1999
-116.98121397244124,33.698387222755464,10,1999
-118.29619937811921,36.565001624499246,10,1999
-119.37454119340931,35.586157682440394,10,1999
-118.34729288058931,36.220792765753274,11,1999
-120.81053752599016,36.126673155939926,11,1999
-116.86827044066523,34.41907452075484,11,1999
-117.28508585555292,35.096735711410965,11,1999
-119.4605934080958,36.55424509766343,11,1999
-119.65152175943146,35.736749058141754,11,1999
-120.99877674561687,38.49579819152742,11,1999
-120.55775914534858,37.80200221061757,11,1999
-120.8481853699155,36.19927971208165,11,1999
-119.14058673473042,35.30110972129138,12,1999
-120.57927219902021,36.866184375901966,12,1999
-119.53588909594649,35.9680143851117,12,1999
-119.74295223753586,38.584539537922865,12,1999
-121.40483563366875,38.04671319613229,12,1999
-119.51437604227486,38.47159600614684,12,1999
-119.3234476909392,38.5710938793781,12,1999
-119.3234476909392,35.24194882369442,12,1999
-117.81484480221664,34.311509252396725,12,1999
-119.32613682264817,35.23925969198547,1,2000
-119.37723032511826,36.696769078237935,1,2000
-117.46256854834381,33.96730039365075,1,2000
-120.23237420856529,37.00064096134961,1,2000
-119.61925217892403,37.6352760446625,1,2000
-117.53248597277658,33.80057422769568,1,2000
-116.90322915288161,33.39989360306169,1,2000
-117.97350357304487,35.37371627743311,1,2000
-118.37956246109675,34.835889935642534,1,2000
-121.29458123360168,37.33947155667767,2,2000
-120.16245678413252,38.26991112797538,2,2000
-120.17859157438623,38.52268950861695,2,2000
-119.21588242258109,36.66718862943945,2,2000
-121.14936812131822,37.6863695471326,2,2000
-120.83205057966178,37.60838472757297,2,2000
-118.13754060729099,34.42176365246379,2,2000
-120.46901779895315,38.407056845131976,2,2000
-118.65923215882785,35.42480977990322,2,2000
-119.05453452004392,35.20161184806013,3,2000
-119.01688667611859,37.401321585983595,3,2000
-119.25353026650643,35.05370960406772,3,2000
-117.5432424996124,33.99956997415819,3,2000
-120.20010462805786,37.58149341048343,3,2000
-118.9469692516858,34.61000287209049,3,2000
-119.90161100836409,35.71254687276118,3,2000
-116.68272035274748,33.68225243250175,3,2000
-117.84980351443303,34.86547038444102,3,2000
-121.9211489217877,37.80469134232653,4,2000
-119.53319996423754,37.729395654475844,4,2000
-118.42258856843999,35.58884681414934,4,2000
-119.25084113479748,35.04026394552296,4,2000
-121.66837054114613,38.48773079640056,4,2000
-118.14022973899993,34.2899961987251,4,2000
-120.45826127211733,37.32064763471501,4,2000
-121.43710521417619,37.05980185894658,4,2000
-119.21857155429005,38.37478726462454,4,2000
-120.8481853699155,37.565358620229716,5,2000
-117.09146837250832,34.7579051160829,5,2000
-119.49824125202115,36.20465797549956,5,2000
-116.71230080154595,32.87282378810693,5,2000
-118.79637787598445,37.32602589813291,5,2000
-119.94194798399838,37.81813700087129,5,2000
-118.09989276336565,36.47894940981275,5,2000
-119.60580652037926,37.21308236635689,5,2000
-118.1993906365969,35.94650133144008,5,2000
-117.92241007057476,35.35489235547044,6,2000
-121.67912706798194,37.83696092283396,6,2000
-120.38296558426664,37.97948490340846,6,2000
-119.89085448152827,38.50924385007218,6,2000
-121.09558548713916,38.095117566893435,6,2000
-117.39265112391104,35.16934226755269,6,2000
-116.72574646009072,33.28695007128567,6,2000
-116.97583570902334,34.311509252396725,6,2000
-119.57353693987183,37.66754562516993,6,2000
-119.00344101757382,36.44667982930532,7,2000
-121.39138997512399,36.971060512551134,7,2000
-121.01491153587058,36.91727787837207,7,2000
-117.16407492865004,34.42983104759065,7,2000
-119.71068265702843,37.89343268872197,7,2000
-118.49788425629067,35.55657723364191,7,2000
-120.08716109628183,38.19461544012469,7,2000
-121.25155512625844,38.127387147400874,7,2000
-120.78633534060958,35.95456872656694,7,2000
-121.56349440449696,37.76435436669223,8,2000
-120.9396158480199,37.51964338117752,8,2000
-116.68809861616538,33.44023057869599,8,2000
-120.60347438440078,37.93376966435626,8,2000
-118.26392979761177,36.1508753413205,8,2000
-120.97995282365419,38.643700435519825,8,2000
-120.91541366263932,37.61376299099087,8,2000
-119.33958248119293,36.67525602456631,8,2000
-120.45826127211733,38.73782004533318,8,2000
-120.80515926257225,37.15661060046888,9,2000
-117.94392312424638,35.85775998504464,9,2000
-117.25281627504549,34.87084864785892,9,2000
-118.29351024641025,35.54313157509715,9,2000
-120.17321331096832,36.98181703938694,9,2000
-119.94194798399838,37.19156931268527,9,2000
-120.16514591584146,37.51157598605066,9,2000
-119.53588909594649,36.09171444372353,9,2000
-120.05758064748335,36.79895608317815,9,2000
-120.24581986711006,35.5915359458583,10,2000
-117.11567055788889,34.06679826688201,10,2000
-121.31071602385539,36.76668650267071,10,2000
-121.39138997512399,37.58149341048343,10,2000
-119.56009128132706,36.11322749739516,10,2000
-120.91810279434827,38.43932642563941,10,2000
-118.14829713412679,35.769018638649186,10,2000
-118.21821455855957,35.92767740947741,10,2000
-118.76679742718596,35.73137079472385,10,2000
-116.95701178706067,32.82979768076368,10,2000
-119.2669759250512,37.76435436669223,10,2000
-118.18325584634319,35.95994698998484,10,2000
-119.08142583713345,34.55622023791143,10,2000
-118.58931473439507,34.31688751581463,10,2000
-120.47708519408,38.28066765481119,10,2000
-119.83707184734921,38.24301981088585,10,2000
-119.96077190596104,35.61573813123887,10,2000
-118.09989276336565,34.881605174694734,10,2000
-118.09182536823879,35.271529272492906,10,2000
-116.85213565041151,33.81670901794939,10,2000
-118.47637120261905,35.90347522409683,10,2000
-119.91236753519989,37.05173446381971,10,2000
-118.43065596356685,35.225814033440706,10,2000
-118.21283629514167,35.93036654118636,10,2000
-117.16407492865004,33.566619769016775,10,2000
-121.64416835576556,37.62720864953563,10,2000
-119.0383997297902,36.92803440520788,11,2000
-121.51509003373582,38.33982855240815,11,2000
-118.64847563199204,37.21308236635689,11,2000
-120.81322665769912,37.514265117759614,11,2000
-120.6599461502888,38.30486984019176,11,2000
-119.09756062738717,35.220435770022796,11,2000
-121.10634201397498,37.76973263011014,11,2000
-120.17321331096832,38.45277208418417,11,2000
-118.62696257832042,34.397561467083214,11,2000
-119.74564136924481,37.29913458104338,11,2000
-117.9143426754479,35.317244511545105,11,2000
-120.55238088193069,38.296802445064905,11,2000
-120.56582654047544,37.95259358631893,11,2000
